Date,Close/Last,Volume,Open,High,Low
5/10/2021,$305.21 ,887981,$323.37 ,$325.32 ,$304.03 
5/7/2021,$327.38 ,438160,$319.52 ,$328 ,$318.72 
5/6/2021,$318.16 ,641023,$315.29 ,$320.01 ,$310.12 
5/5/2021,$319.33 ,341221,$318.90 ,$322.86 ,$312.55 
5/4/2021,$312.99 ,828804,$319.96 ,$321.18 ,$305.75 
5/3/2021,$325.25 ,545873,$325.84 ,$328.50 ,$321.65 
4/30/2021,$323.95 ,877918,$333.98 ,$336.03 ,$320 
4/29/2021,$337.18 ,1565038,$338 ,$338.94 ,$322.12 
4/28/2021,$316.16 ,989722,$328.06 ,$330.19 ,$315.13 
4/27/2021,$331.75 ,393115,$335.13 ,$340.98 ,$330.59 
4/26/2021,$330.82 ,351841,$332.45 ,$335.25 ,$325.58 
4/23/2021,$330.58 ,527457,$323.65 ,$332.16 ,$322.67 
4/22/2021,$321.66 ,392941,$326.33 ,$329.05 ,$319.54 
4/21/2021,$323.02 ,419928,$312.87 ,$323.03 ,$312.44 
4/20/2021,$313.77 ,565757,$319.14 ,$322.11 ,$308.30 
4/19/2021,$318.68 ,734126,$329 ,$330.45 ,$314.11 
4/16/2021,$332.23 ,587032,$330 ,$333.78 ,$327.57 
4/15/2021,$327.05 ,454640,$329.18 ,$329.40 ,$323.68 
4/14/2021,$325.57 ,482251,$330.12 ,$337.93 ,$324.83 
4/13/2021,$328.47 ,363371,$329.01 ,$331.56 ,$323.38 
4/12/2021,$328.34 ,448412,$326.67 ,$329.40 ,$319.26 
4/9/2021,$330.41 ,374935,$332.09 ,$332.44 ,$324.26 
4/8/2021,$331.91 ,458407,$329.66 ,$332.97 ,$325.52 
4/7/2021,$326.02 ,566279,$329.44 ,$332.02 ,$323.69 
4/6/2021,$333.64 ,784343,$326 ,$342.28 ,$326 
4/5/2021,$325.04 ,480907,$327 ,$329.25 ,$322.30 
4/1/2021,$323.80 ,717622,$330 ,$335.00 ,$322.25 
3/31/2021,$327.45 ,1057645,$323.05 ,$329.86 ,$320.52 
3/30/2021,$317.75 ,628599,$302.87 ,$318.97 ,$302.29 
3/29/2021,$303.14 ,712848,$315.98 ,$320.78 ,$302.70 
3/26/2021,$316.04 ,724680,$306.96 ,$316.04 ,$305.46 
3/25/2021,$301.03 ,749999,$292.88 ,$302.37 ,$288.09 
3/24/2021,$296.88 ,764876,$306.98 ,$307.25 ,$295.89 
3/23/2021,$303.57 ,1137163,$312 ,$318.71 ,$301 
3/22/2021,$313.73 ,1273415,$310 ,$315.90 ,$303.18 
3/19/2021,$305.63 ,12919780,$306.47 ,$314.41 ,$301.59 
3/18/2021,$306.96 ,1244541,$316.81 ,$316.81 ,$303.46 
3/17/2021,$316.52 ,1258982,$321 ,$321.79 ,$311.30 
3/16/2021,$325.89 ,772661,$335.92 ,$337.58 ,$319.49 
3/15/2021,$338.11 ,1102865,$335.50 ,$338.27 ,$323.64 
3/12/2021,$329.30 ,386673,$324.52 ,$330.93 ,$320.05 
3/11/2021,$331.76 ,519421,$325 ,$332.60 ,$321.51 
3/10/2021,$314.50 ,519744,$312.28 ,$322.93 ,$311.38 
3/9/2021,$309.14 ,649387,$305.89 ,$314.61 ,$302.09 
3/8/2021,$294.81 ,737089,$308 ,$314.69 ,$293.76 
3/5/2021,$307.03 ,896447,$310.03 ,$311.38 ,$286.50 
3/4/2021,$305.72 ,895394,$315.65 ,$322.09 ,$296.70 
3/3/2021,$318.26 ,829210,$337.73 ,$341.01 ,$315.05 
3/2/2021,$338.70 ,622862,$345.90 ,$354.65 ,$334.35 
3/1/2021,$346.25 ,809973,$335 ,$349.33 ,$322.49 
2/26/2021,$329.56 ,1010312,$319.44 ,$334.19 ,$315.66 
2/25/2021,$315.66 ,906294,$323.26 ,$325.85 ,$309.10 
2/24/2021,$322.68 ,933001,$338.30 ,$340.98 ,$321.31 
2/23/2021,$333.04 ,1176810,$328.17 ,$334.07 ,$308.04 
2/22/2021,$336.70 ,1026010,$360.97 ,$364 ,$335.30 
2/19/2021,$363.47 ,899480,$356.32 ,$363.57 ,$354 
2/18/2021,$351.46 ,1223636,$355.56 ,$363.72 ,$343.54 
2/17/2021,$355.32 ,1334447,$350 ,$361 ,$341.67 
2/16/2021,$350.53 ,1986687,$347.74 ,$360.18 ,$341.49 
2/12/2021,$326.84 ,930348,$320.58 ,$330.31 ,$317.01 
2/11/2021,$316.11 ,1619776,$293.50 ,$318.75 ,$293 
2/10/2021,$277.54 ,904556,$276.55 ,$283.11 ,$274.56 
2/9/2021,$275.56 ,381029,$279.94 ,$281.27 ,$274.95 
2/8/2021,$279 ,457735,$273.11 ,$280.61 ,$273.11 
2/5/2021,$270.58 ,396515,$263.96 ,$272.04 ,$263.50 
2/4/2021,$262.24 ,563465,$266.68 ,$269.58 ,$261.61 
2/3/2021,$264.30 ,293415,$268.09 ,$269 ,$261.50 
2/2/2021,$266.99 ,513554,$263.02 ,$268.13 ,$261.75 
2/1/2021,$258.73 ,624389,$250.21 ,$259.86 ,$248.07 
1/29/2021,$246.42 ,424201,$251.50 ,$254.31 ,$244.64 
1/28/2021,$252.93 ,574838,$254.99 ,$256.60 ,$248.06 
1/27/2021,$248.81 ,938831,$257.86 ,$258.13 ,$243.21 
1/26/2021,$264.81 ,486155,$269.04 ,$269.54 ,$264.25 
1/25/2021,$269.02 ,829798,$279.09 ,$287.55 ,$265.71 
1/22/2021,$277.61 ,500520,$270.47 ,$278.64 ,$269.55 
1/21/2021,$272.33 ,665826,$270.26 ,$273.82 ,$265.45 
1/20/2021,$268.79 ,685984,$269.58 ,$269.98 ,$261.04 
1/19/2021,$267.46 ,756919,$257 ,$269.59 ,$255.94 
1/15/2021,$252.81 ,583144,$252.65 ,$255.30 ,$247.59 
1/14/2021,$253.06 ,366267,$253.15 ,$255 ,$250.23 
1/13/2021,$252.63 ,666639,$257.04 ,$259.46 ,$252.46 
1/12/2021,$259.05 ,1070192,$261.16 ,$263.64 ,$256.25 
1/11/2021,$260.80 ,750741,$248.77 ,$262.49 ,$245.24 
1/8/2021,$252.50 ,726099,$257.50 ,$260.00 ,$249.68 
1/7/2021,$254.50 ,893778,$250.19 ,$256.30 ,$247.89 
1/6/2021,$246.29 ,1185680,$230.77 ,$249.00 ,$228.62 
1/5/2021,$227.98 ,485259,$223.17 ,$228.53 ,$223 
1/4/2021,$224.56 ,686583,$229.16 ,$230.95 ,$222.51 
12/31/2020,$227.41 ,474328,$229.19 ,$229.60 ,$225.52 
12/30/2020,$229.19 ,588309,$222.60 ,$229.86 ,$222.60 
12/29/2020,$221.37 ,845081,$232.59 ,$233.99 ,$219.47 
12/28/2020,$233.04 ,732895,$238.49 ,$239.62 ,$232.25 
12/24/2020,$233.20 ,816195,$227.26 ,$237.99 ,$227 
12/23/2020,$227.01 ,464634,$229.25 ,$230.50 ,$223 
12/22/2020,$227.31 ,855442,$230.65 ,$231.88 ,$223.64 
12/21/2020,$230.29 ,1285121,$214.63 ,$230.47 ,$214.41 
12/18/2020,$216.79 ,1355564,$220.26 ,$220.72 ,$215.05 
12/17/2020,$218.60 ,650116,$221.93 ,$224.19 ,$217.35 
12/16/2020,$220.44 ,647913,$226 ,$226.64 ,$218.11 
12/15/2020,$224.40 ,790495,$220.01 ,$224.85 ,$219.68 
12/14/2020,$218.06 ,731325,$217.69 ,$220.82 ,$213.50 
12/11/2020,$217.28 ,728528,$211.56 ,$219.99 ,$211.46 
12/10/2020,$211.27 ,824227,$207.50 ,$213.95 ,$207.07 
12/9/2020,$209.43 ,926952,$218.01 ,$218.88 ,$207.82 
12/8/2020,$216.87 ,1205539,$210.42 ,$217.37 ,$207.31 
